,식품군,식품이름,열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),포화지방산 (g)
3683,빵 또는 떡류,Bonjour 초콜릿플라워패스츄리,162.88,24.98,2.71,7.6,6.7,162.88,4.34
3684,빵 또는 떡류,Bonjour 호두단팥패스츄리,175.43,26.01,2.42,6.65,9.26,139.14,3.63
3685,빵 또는 떡류,FRAnKY 칠리불고기팡,201.03,35.18,5.03,5.03,9.05,335.04,18.43
3686,빵 또는 떡류,GS25통식빵,139.65,25.48,4.9,1.91,1.96,200.9,0.98
3687,빵 또는 떡류,LuFFY불고기킹,185.56,30.15,4.64,5.8,5.28,278.34,1.74
3688,빵 또는 떡류,Mr.쉐프의 NO.1 디럭스소시지,189.9,18.31,4.07,10.85,4.04,311.97,3.39
3689,빵 또는 떡류,Mr.쉐프의 삼각피자빵,193.85,28.0,3.23,7.54,6.03,312.31,2.37
3690,빵 또는 떡류,Real 에그타르트,225.0,27.0,3.0,12.0,7.0,150.0,4.9
3691,빵 또는 떡류,Real 치즈타르트,260.0,26.0,3.0,16.0,11.2,95.0,7.0
3692,빵 또는 떡류,Real 피칸타르트,202.89,22.2,3.06,10.72,3.67,61.25,3.45
3693,빵 또는 떡류,Robin모카초코,245.0,39.58,3.77,7.54,18.09,141.35,3.67
3694,빵 또는 떡류,VIPS 고르곤졸라피자(씨제이제일제당),126.57,17.98,4.9,3.67,3.28,171.5,1.81
3695,빵 또는 떡류,Zoro 햄&콘샐러드팡,235.02,27.49,3.55,13.3,7.54,310.41,3.46
3696,빵 또는 떡류,minAwk고구마패스츄리,236.2,25.13,4.02,9.05,11.31,251.28,5.03
3697,빵 또는 떡류,갈릭소시지빵,259.13,27.33,5.65,14.13,6.79,320.38,4.71
3698,빵 또는 떡류,겉은바삭 속은촉촉 비스켓,240.92,31.31,4.08,10.89,0.82,585.28,9.53
3699,빵 또는 떡류,고구마 들어있는 속이 빵빵 통밤호떡,211.08,41.46,4.71,3.39,6.64,98.94,1.6
3700,빵 또는 떡류,고구마호빵,178.41,37.69,3.35,1.76,13.57,184.27,0.84
3701,빵 또는 떡류,고소한땅콩호떡,222.38,41.46,4.52,4.52,6.64,173.38,1.73
3702,빵 또는 떡류,곡물식빵,132.3,24.5,3.92,2.06,2.94,220.5,0.74
3703,빵 또는 떡류,구름빵,313.06,36.75,5.44,14.97,6.53,217.78,6.81
3704,빵 또는 떡류,굿모닝토스트,176.33,27.13,4.75,5.43,2.88,210.24,2.64
3705,빵 또는 떡류,궁중떡볶이,88.12,18.1,0.91,1.34,1.71,206.53,0.05
3706,빵 또는 떡류,그물에 갇힌 햄패스츄리,266.36,28.14,5.03,15.08,6.79,361.85,6.03
3707,빵 또는 떡류,글레이즈드,319.48,39.2,5.88,17.64,14.7,333.2,11.76
3708,빵 또는 떡류,김준현이좋아하는옛날꿀호떡,212.93,42.32,3.97,3.57,10.52,185.16,1.72
3709,빵 또는 떡류,김준현이좋아하는요요꿀호떡,210.23,42.47,3.18,3.29,10.52,180.5,1.59
3710,빵 또는 떡류,깜파뉴,162.83,34.17,5.03,0.75,1.01,361.85,0.25
3711,빵 또는 떡류,꼬마단팥호빵,195.06,40.52,4.71,1.88,8.29,179.04,0.85
3712,빵 또는 떡류,꼬마야채호빵,182.81,29.21,6.6,3.58,5.28,292.12,1.51
3713,빵 또는 떡류,꼬마핫도그,379.83,60.82,5.78,12.6,3.35,547.51,4.3
3714,빵 또는 떡류,꿀에빠진카스테라,234.11,47.64,5.44,2.59,15.52,95.28,0.82
3715,빵 또는 떡류,꿈이이루어지는 단팥호빵,194.32,40.21,5.03,1.84,9.8,167.52,0.84
3716,빵 또는 떡류,나미의 상큼한딸기샌드,204.71,34.84,3.48,6.1,11.11,156.8,2.09
3717,빵 또는 떡류,남자가 먹는 복분자 단팥 호빵,192.65,40.21,5.03,1.84,9.8,167.52,0.84
3718,빵 또는 떡류,네모난호빵 멕시칸칠리타코,178.41,32.67,5.03,3.94,6.03,318.29,1.68
3719,빵 또는 떡류,네모난호빵 베샤멜치킨,171.71,30.99,5.03,3.52,5.28,217.78,1.34
3720,빵 또는 떡류,뉴 사이좋은 상콤 패스츄리,280.6,39.37,4.19,12.56,12.06,259.66,5.86
3721,빵 또는 떡류,뉴건포도머핀,364.46,43.74,3.24,19.44,11.58,210.58,3.73
