,성별,골격근량,체지방량,BMI,체지방율,복부지방율,몸무게,나이,키,권장섭취량,탄수화물,단백질,지방,비타민A,티아민,리보플라빈,비타민C,칼슘,철분,알레르기
56,1,27.5,4.3,16.63550097,8.0,0.8,53.6,17,179.5,2700,237.9075,118.95375,17.62277778,850.0,1.3,1.7,110.0,900.0,15.0,6
57,1,27.5,6.1,19.36206715,11.0,0.8,55.3,17,169.0,2700,233.53875,116.769375,17.29916667,850.0,1.3,1.7,110.0,900.0,15.0,
58,1,27.5,7.8,19.93441297,13.7,0.8,56.8,17,168.8,2700,236.4825,118.24125,17.51722222,850.0,1.3,1.7,110.0,900.0,15.0,
59,1,27.6,13.6,21.32909681,21.5,0.8,63.1,17,172.0,2700,251.87625,125.938125,18.6575,850.0,1.3,1.7,110.0,900.0,15.0,
60,1,27.6,14.2,23.97159763,22.5,0.9,63.3,17,162.5,2700,245.16375,122.581875,18.16027778,850.0,1.3,1.7,110.0,900.0,15.0,"8,13"
61,1,27.6,23.0,27.93488744,31.7,0.9,72.5,17,161.1,2700,263.08875,131.544375,19.48805556,850.0,1.3,1.7,110.0,900.0,15.0,
62,1,27.6,4.9,18.50141924,9.1,0.8,54.1,17,171.0,2700,232.56375,116.281875,17.22694444,850.0,1.3,1.7,110.0,900.0,15.0,
63,1,27.7,11.6,20.35416243,18.9,0.8,61.2,17,173.4,2700,249.0075,124.50375,18.445,850.0,1.3,1.7,110.0,900.0,15.0,
64,1,27.7,7.9,19.8745225,13.8,0.8,57.1,17,169.5,2700,237.62625,118.813125,17.60194444,850.0,1.3,1.7,110.0,900.0,15.0,
65,1,27.7,8.7,22.19900507,15.0,0.8,57.9,17,161.5,2700,233.27625,116.638125,17.27972222,850.0,1.3,1.7,110.0,900.0,15.0,
66,1,27.8,5.7,19.995993600000002,10.3,0.8,55.5,17,166.6,2700,232.15125,116.075625,17.19638889,850.0,1.3,1.7,110.0,900.0,15.0,
67,1,27.9,10.7,22.06148335,17.7,0.8,60.5,17,165.6,2700,241.71375,120.856875,17.90472222,850.0,1.3,1.7,110.0,900.0,15.0,
68,1,27.9,5.4,18.98019904,9.7,0.8,55.5,17,171.0,2700,235.45125,117.725625,17.44083333,850.0,1.3,1.7,110.0,900.0,15.0,"6,11"
69,1,27.9,6.7,19.9829932,11.8,0.8,56.4,17,168.0,2700,235.0575,117.52875,17.41166667,850.0,1.3,1.7,110.0,900.0,15.0,
70,1,27.9,8.4,21.59086721,14.6,0.8,58.0,17,163.9,2700,235.2825,117.64125,17.42833333,850.0,1.3,1.7,110.0,900.0,15.0,
71,1,27.0,6.7,19.58008897,12.1,0.8,55.0,17,167.6,2700,231.87,115.935,17.17555556,850.0,1.3,1.7,110.0,900.0,15.0,
72,1,28.1,12.7,20.76990858,20.2,0.8,63.1,17,174.3,2700,253.60125,126.800625,18.78527778,850.0,1.3,1.7,110.0,900.0,15.0,"8,3"
73,1,28.1,15.1,22.30363199,23.0,0.9,65.6,17,171.5,2700,256.6575,128.32875,19.01166667,850.0,1.3,1.7,110.0,900.0,15.0,11
74,1,28.1,5.7,18.98354171,10.2,0.8,55.9,17,171.6,2700,236.72625,118.363125,17.53527778,850.0,1.3,1.7,110.0,900.0,15.0,
75,1,28.1,7.4,18.80816327,12.8,0.8,57.6,17,175.0,2700,242.7825,121.39125,17.98388889,850.0,1.3,1.7,110.0,900.0,15.0,
76,1,28.2,11.2,21.1842329,18.2,0.8,61.8,17,170.8,2700,248.295,124.1475,18.39222222,850.0,1.3,1.7,110.0,900.0,15.0,
77,1,28.2,5.7,20.29779033,10.1,0.8,56.0,17,166.1,2700,232.8075,116.40375,17.245,850.0,1.3,1.7,110.0,900.0,15.0,
78,1,28.2,7.9,19.47774427,13.4,0.8,58.7,17,173.6,2700,244.00125,122.000625,18.07416667,850.0,1.3,1.7,110.0,900.0,15.0,
79,1,28.3,4.8,18.94600048,8.7,0.8,55.4,17,171.0,2700,235.245,117.6225,17.42555556,850.0,1.3,1.7,110.0,900.0,15.0,12
80,1,28.4,12.8,22.4184454,20.2,0.9,63.5,17,168.3,2700,249.92625,124.963125,18.51305556,850.0,1.3,1.7,110.0,900.0,15.0,
81,1,28.4,9.9,19.79511889,16.3,0.8,60.9,17,175.4,2700,249.88875,124.944375,18.51027778,850.0,1.3,1.7,110.0,900.0,15.0,
82,1,28.5,11.7,21.910169,18.7,0.8,62.8,17,169.3,2700,249.2325,124.61625,18.46166667,850.0,1.3,1.7,110.0,900.0,15.0,
83,1,28.5,12.0,22.42772109,18.9,0.8,63.3,17,168.0,2700,249.28875,124.644375,18.46583333,850.0,1.3,1.7,110.0,900.0,15.0,
84,1,28.5,5.8,18.7304249,10.1,0.8,57.1,17,174.6,2700,241.45125,120.725625,17.88527778,850.0,1.3,1.7,110.0,900.0,15.0,
85,1,28.5,6.4,18.56141577,11.1,0.8,57.3,17,175.7,2700,242.68875,121.344375,17.97694444,850.0,1.3,1.7,110.0,900.0,15.0,
86,1,28.5,7.1,19.43618172,12.4,0.8,57.5,17,172.0,2700,240.32625,120.163125,17.80194444,850.0,1.3,1.7,110.0,900.0,15.0,
