,칼로리(Kcal),탄수화물(g),단백질(g),지방(g),비타민A(mg),티아민(mg),리보플라빈(mg),비타민C(mg),칼슘(mg),철분(mg)
3756,18.0,816.9000000000001,428.1,8104.3,12.5,12.799999999999999,1267.5000000000002,5775.400000000001,148.99999999999997,규칙규칙규칙규칙규칙규칙규칙
3757,19.0,826.5000000000001,534.2,8136.499999999999,23.900000000000002,19.799999999999997,1040.5,6715.300000000001,185.5,규칙규칙규칙규칙규칙규칙규칙
3758,18.0,786.1999999999999,478.2,7633.3,100.69999999999997,10.7,952.6,6462.599999999999,172.0,규칙규칙규칙규칙규칙규칙규칙
3759,17.0,747.1999999999999,490.4,7877.399999999999,14.9,11.9,990.6,7001.599999999999,132.7,규칙규칙규칙규칙규칙규칙규칙
3760,17.0,881.1999999999998,478.1,6285.600000000001,16.2,12.2,845.7,5936.299999999999,141.10000000000002,규칙규칙규칙규칙규칙규칙규칙
3761,17.0,901.0,520.4000000000001,7869.700000000001,216.2,212.20000000000002,769.2,5623.899999999999,144.8,규칙규칙규칙규칙규칙규칙규칙
3762,18.0,866.3999999999999,514.5,8484.7,22.099999999999998,14.700000000000001,1110.6,5828.3,171.70000000000002,규칙규칙규칙규칙규칙규칙규칙
3763,18.0,795.9999999999999,480.20000000000005,6304.4,13.8,13.200000000000003,811.9,5853.500000000001,145.8,규칙규칙규칙규칙규칙규칙규칙
3764,15.0,771.9000000000001,445.1,7086.9,36.699999999999996,24.0,919.1999999999999,5318.900000000001,199.39999999999998,규칙규칙규칙규칙규칙규칙규칙
3765,15.0,855.3,537.1,9087.4,14.399999999999999,12.499999999999998,819.7,5782.2,148.0,규칙규칙규칙규칙규칙규칙규칙
3766,15.0,824.4999999999999,494.99999999999994,6996.499999999999,16.900000000000002,11.1,868.2,6043.900000000001,143.4,규칙규칙규칙규칙규칙규칙규칙
3767,15.0,803.1,397.79999999999995,9118.699999999999,293.6000000000001,290.30000000000007,1009.5,5903.5,147.3,규칙규칙규칙규칙규칙규칙규칙
3768,18.0,738.8000000000001,462.00000000000006,7608.4,14.0,12.1,1144.1000000000001,5757.0,128.8,규칙규칙규칙규칙규칙규칙규칙
3769,14.0,855.8000000000001,440.59999999999997,6445.200000000001,16.4,10.6,894.6,6148.700000000001,199.99999999999997,규칙규칙규칙규칙규칙규칙규칙
3770,18.0,748.1,519.2,9356.0,36.400000000000006,13.5,1294.3999999999999,5254.4,130.10000000000002,규칙규칙규칙규칙규칙규칙규칙
3771,16.0,744.1000000000001,485.6000000000001,7946.499999999999,13.299999999999999,11.100000000000001,893.3,5210.700000000001,131.70000000000002,규칙규칙규칙규칙규칙규칙규칙
3772,16.0,732.4000000000001,476.30000000000007,6439.3,67.89999999999999,10.9,960.4,5132.3,115.9,규칙규칙규칙규칙규칙규칙규칙
3773,16.0,866.8,537.1999999999999,6827.3,16.700000000000003,13.900000000000002,985.9,6958.3,129.3,규칙규칙규칙규칙규칙규칙규칙
3774,17.0,751.3,500.59999999999997,6878.2,13.700000000000003,10.600000000000001,852.8,4748.0,134.0,규칙규칙규칙규칙규칙규칙규칙
3775,18.0,759.3,430.50000000000006,6249.2,15.100000000000001,14.6,949.8999999999999,7204.4,235.5,규칙규칙규칙규칙규칙규칙규칙
3776,18.0,838.9000000000001,451.2,8428.9,13.799999999999999,12.7,912.0999999999999,6452.4,212.8,규칙규칙규칙규칙규칙규칙규칙
3777,19.0,829.3000000000001,436.20000000000005,7923.9,13.700000000000003,13.3,741.6,6820.599999999999,164.29999999999998,규칙규칙규칙규칙규칙규칙규칙
3778,18.0,821.7,419.99999999999994,8165.700000000001,13.799999999999999,14.0,1219.0,6153.700000000001,154.9,규칙규칙규칙규칙규칙규칙규칙
3779,18.0,747.3000000000001,470.3,7109.8,13.5,12.0,835.4,4943.7,163.2,규칙규칙규칙규칙규칙규칙규칙
3780,16.0,815.1000000000001,467.9,7622.299999999999,15.3,13.5,936.9999999999999,6301.9,139.8,규칙규칙규칙규칙규칙규칙규칙
3781,17.0,775.9999999999999,474.50000000000006,9638.700000000003,14.700000000000003,13.600000000000001,1030.5,6961.2,149.09999999999997,규칙규칙규칙규칙규칙규칙규칙
3782,20.0,820.1,459.3,7417.5,14.7,11.5,1083.3000000000002,4649.8,145.0,규칙규칙규칙규칙규칙규칙규칙
3783,21.0,907.0,632.0,8857.699999999999,28.699999999999996,13.700000000000003,873.3000000000002,5781.099999999999,157.40000000000003,규칙규칙규칙규칙규칙규칙규칙
3784,17.0,771.7,461.4,6524.299999999999,14.5,10.0,911.9,4956.4,127.19999999999997,규칙규칙규칙규칙규칙규칙규칙
3785,17.0,755.4999999999999,471.40000000000003,7062.9,41.4,32.400000000000006,887.0,6039.500000000002,140.5,규칙규칙규칙규칙규칙규칙규칙
3786,18.0,934.8999999999999,559.5,7956.9,45.2,13.0,824.8,6336.599999999999,138.9,규칙규칙규칙규칙규칙규칙규칙
3787,15.0,924.3999999999999,526.4000000000001,7601.100000000001,16.8,14.0,1088.1,8867.300000000001,163.3,규칙규칙규칙규칙규칙규칙규칙
3788,15.0,749.1,489.6000000000001,5703.499999999999,51.70000000000001,35.6,1061.8,6152.599999999999,142.8,규칙규칙규칙규칙규칙규칙규칙
3789,18.0,825.2,512.5,6623.0,16.0,12.0,747.5,5287.2,139.5,규칙규칙규칙규칙규칙규칙규칙
3790,18.0,758.4,484.5,7714.1,13.8,14.599999999999998,964.2,6335.299999999999,134.39999999999998,규칙규칙규칙규칙규칙규칙규칙
3791,19.0,768.8,517.0,6443.999999999999,13.5,10.8,871.1000000000001,4846.900000000001,137.89999999999998,규칙규칙규칙규칙규칙규칙규칙
3792,21.0,781.7,439.8,5885.299999999999,32.800000000000004,21.2,927.8,5014.0,174.4,규칙규칙규칙규칙규칙규칙규칙
3793,18.0,855.8,522.6999999999999,5814.099999999999,15.799999999999999,12.500000000000002,905.4999999999999,8501.2,144.2,규칙규칙규칙규칙규칙규칙규칙
3794,18.0,737.9999999999999,464.8,7514.9,46.699999999999996,44.3,813.1000000000001,4870.500000000001,138.9,규칙규칙규칙규칙규칙규칙규칙
3795,17.0,784.8,405.2,7409.6,14.1,12.4,931.9,5183.1,131.4,규칙규칙규칙규칙규칙규칙규칙
3796,19.0,758.9000000000001,452.4,6850.299999999999,15.8,11.500000000000002,940.1999999999999,7244.599999999999,187.90000000000003,규칙규칙규칙규칙규칙규칙규칙
3797,17.0,823.1,442.69999999999993,7166.200000000001,14.999999999999998,12.0,963.0,5295.5,216.9,규칙규칙규칙규칙규칙규칙규칙
3798,19.0,776.6,435.1000000000001,6817.3,17.5,12.5,771.7,5131.0,165.2,규칙규칙규칙규칙규칙규칙규칙
3799,16.0,710.1,440.0,7969.0,14.7,10.9,937.6000000000001,5239.8,130.20000000000002,규칙규칙규칙규칙규칙규칙규칙
3800,20.0,898.0,495.40000000000003,8380.300000000001,38.800000000000004,25.400000000000002,1032.7,8634.4,191.3,규칙규칙규칙규칙규칙규칙규칙
3801,18.0,870.6000000000001,445.0,8056.799999999999,12.899999999999999,15.300000000000002,857.7,5362.7,159.4,규칙규칙규칙규칙규칙규칙규칙
3802,17.0,902.5000000000001,617.1,7844.5,35.800000000000004,14.600000000000001,938.3,5889.700000000001,168.50000000000003,규칙규칙규칙규칙규칙규칙규칙
3803,17.0,805.0999999999999,470.70000000000005,6476.799999999999,18.2,12.0,867.8000000000001,5372.200000000001,140.2,규칙규칙규칙규칙규칙규칙규칙
3804,18.0,762.4000000000001,443.70000000000005,8098.4,17.8,22.0,1030.8,6654.1,288.00000000000006,규칙규칙규칙규칙규칙규칙규칙
3805,17.0,829.9,519.3,6572.2,117.30000000000003,116.7,771.0999999999999,6163.900000000001,128.50000000000003,규칙규칙규칙규칙규칙규칙규칙
3806,16.0,762.7,435.9,6558.700000000001,32.3,10.8,828.4,4290.4,133.2,규칙규칙규칙규칙규칙규칙규칙
3807,16.0,851.7,663.4000000000001,7266.2,15.700000000000001,10.9,1259.2,6222.4,146.8,규칙규칙규칙규칙규칙규칙규칙
3808,17.0,756.7,468.9,5875.700000000001,13.3,10.6,786.9,5389.599999999999,135.70000000000002,규칙규칙규칙규칙규칙규칙규칙
3809,18.0,854.8,468.1,7922.200000000001,16.599999999999998,13.299999999999999,855.9,5861.0,139.5,규칙규칙규칙규칙규칙규칙규칙
3810,15.0,864.3999999999999,512.4000000000001,9207.5,14.900000000000002,12.299999999999999,1457.4,6755.400000000001,173.79999999999998,규칙규칙규칙규칙규칙규칙규칙
3811,17.0,879.5000000000001,567.7,7124.8,22.6,12.000000000000002,884.7,5237.5,138.5,규칙규칙규칙규칙규칙규칙규칙
3812,18.0,843.2,511.7,6975.299999999999,18.400000000000002,15.7,849.6,6361.1,147.4,규칙규칙규칙규칙규칙규칙규칙
3813,16.0,888.4,467.3,7454.7,17.0,13.5,933.5999999999999,5693.599999999999,151.10000000000002,규칙규칙규칙규칙규칙규칙규칙
3814,18.0,786.9,548.0,6530.200000000001,34.9,24.800000000000004,1279.6,7417.0,181.7,규칙규칙규칙규칙규칙규칙규칙
3815,20.0,878.6,550.5,9324.199999999999,17.6,14.6,1629.8000000000002,7110.700000000001,168.2,규칙규칙규칙규칙규칙규칙규칙
3816,15.0,781.5999999999999,457.29999999999995,7227.900000000001,13.6,10.099999999999998,931.3,5308.5,126.1,규칙규칙규칙규칙규칙규칙규칙
3817,19.0,739.6,483.3,7307.9,14.600000000000001,12.3,788.8,5391.4,193.7,규칙규칙규칙규칙규칙규칙규칙
