,단백질(g),리보플라빈(mg),비타민A(mg),비타민C(mg),지방(g),철분(mg),칼로리(kcal),칼슘(mg),탄수화물(g),티아민(mg)
4606,436.7,922.7,17.1,5219.6,7250.9000000000015,규칙규칙규칙규칙규칙규칙규칙,,133.10000000000002,789.7,12.3
4607,476.6,1004.5,21.9,6453.7,8415.1,규칙규칙규칙규칙규칙규칙규칙,,248.5,778.6,12.8
4608,813.27,9.9,5126.8,737.0999999999997,437.94,117.1,17743.510000000002,4559.500000000001,2326.1,15.9
4609,609.5599999999997,10.6,4887.2,708.4,453.31000000000006,114.6,15917.26,3651.7,2151.0,25.6
4610,508.2,1003.3,21.0,5533.9,8790.5,규칙규칙규칙규칙규칙규칙규칙,,131.90000000000003,759.0,13.2
4611,572.0,898.0999999999998,19.900000000000006,7103.8,9252.2,규칙규칙규칙규칙규칙규칙규칙,,143.39999999999995,849.0000000000001,14.6
4612,810.4399999999998,12.2,6696.700000000002,725.4000000000002,498.69999999999993,140.29999999999998,19940.67,7357.099999999998,2794.0799999999995,15.3
4613,559.6,911.3,71.30000000000003,7471.999999999999,8255.599999999999,규칙규칙규칙규칙규칙규칙규칙,,192.0,902.9,63.1
4614,721.12,9.7,5990.1,708.4,491.51,128.7,18154.22,4944.999999999999,2521.48,49.0
4615,475.6,873.6999999999998,14.500000000000002,5622.4000000000015,7709.5999999999985,규칙규칙규칙규칙규칙규칙규칙,,149.20000000000005,766.3,13.2
4616,498.19999999999993,835.1,17.2,6840.6,6177.299999999998,규칙규칙규칙규칙규칙규칙규칙,,145.29999999999995,849.0,14.6
4617,679.17,9.5,6238.4000000000015,892.3000000000002,432.58,114.6,17094.19,3778.9,2428.090000000001,12.3
4618,826.3200000000003,12.1,6517.5,738.4999999999999,493.56,211.5,18766.79,4860.299999999998,2678.1800000000007,14.7
4619,615.79,11.3,6399.6,653.8000000000002,358.66,267.29999999999995,15288.12,4147.9,2090.5,14.5
4620,699.0300000000002,23.9,7227.6,894.7,414.1,131.29999999999998,18745.58,5853.000000000003,2704.850000000001,15.6
4621,470.5,983.0,14.5,5940.299999999998,6854.1,규칙규칙규칙규칙규칙규칙규칙,,136.2,809.3000000000002,12.3
4622,516.2,860.6,15.2,7662.0,7703.0,규칙규칙규칙규칙규칙규칙규칙,,133.6,786.4,12.0
4623,707.1300000000001,11.0,7206.9000000000015,742.3,492.23,212.3,17658.32,5951.999999999999,2373.33,12.8
4624,516.7,918.5,15.4,5466.0,7430.3,규칙규칙규칙규칙규칙규칙규칙,,141.70000000000005,830.0,12.9
4625,535.3000000000002,869.1999999999998,14.8,5978.1,7830.800000000001,규칙규칙규칙규칙규칙규칙규칙,,199.9,856.8,13.400000000000002
4626,459.6,705.0000000000001,15.6,5027.9000000000015,7724.500000000003,규칙규칙규칙규칙규칙규칙규칙,,189.6,781.3000000000002,9.8
4627,502.1,738.3000000000002,14.1,5877.800000000001,8856.3,규칙규칙규칙규칙규칙규칙규칙,,141.7,772.4,11.5
4628,515.4,1067.1,18.8,7589.5999999999985,7412.5,규칙규칙규칙규칙규칙규칙규칙,,293.4000000000001,927.9,12.0
4629,873.76,24.4,5512.700000000002,857.1,530.85,210.3,19952.38,9248.000000000002,2631.12,38.2
4630,446.8,898.4,13.7,7243.9,6500.299999999998,규칙규칙규칙규칙규칙규칙규칙,,121.79999999999998,782.3000000000002,11.900000000000002
